case_id,number_of_vehicles,striker_damage_area,victim_damage_area,striker_rotation,victim_rotation,striker_degrees,vicitm_degrees,striker_facing,victim_facing,striker_destination_lane,victim_destination_lane
1899075584241,1,Right Side,Not a motor vehicle,counterclockwise,default,default,default,southeast,initialdirection,default,default
2005002229001,2,Front,Front,default,default,default,default,initialdirection,initialdirection,default,default
2005002229021,2,Front,Back,default,default,default,default,initialdirection,initialdirection,default,default
2005002229042,2,Front,Left Side,default,clockwise,default,default,north,east,default,default
2005002229062,1,Front,Not a motor vehicle,default,default,default,default,southerly,initialdirection,default,default
2005002229082,2,Front,Front,clockwise,default,default,default,southeasterly,southerly,default,default
2005002229102,2,Front,Back,default,default,default,default,southerly,southwesterly,default,default
2005002229122,1,Front,Not a motor vehicle,clockwise,default,default,default,west,initialdirection,default,default
2005002229143,2,Noncollision,Noncollision,default,clockwise,default,default,southwesterly,southwesterly,default,default
2005002229162,1,Front,Not a motor vehicle,default,default,default,default,south,initialdirection,default,default
2005002229182,1,Front,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2005002229202,2,Front,Front,default,default,default,default,initialdirection,initialdirection,default,default
2005002229222,3,Front,Back,default,default,default,default,south,south,default,default
2005002229223,1,Front,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2005002229242,2,Right Side,Front,default,default,default,default,initialdirection,initialdirection,default,default
2005002229262,2,Left Side,Front,default,default,default,default,southwest,north,default,default
2005002229282,2,Front,Front,clockwise,clockwise,default,default,north,south,default,default
2005002229303,2,Front,Front,default,default,default,default,north,south,default,default
2005002229304,1,Front,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2005002229322,2,Front,Back,default,default,default,default,north,north,default,default
2005002229342,8,Front,Front,default,default,default,default,initialdirection,initialdirection,default,default
2005002229362,3,Front,Back,default,default,default,default,south,initialdirection,default,default
2005002229422,1,Right Side,Not a motor vehicle,clockwise,default,default,default,initialdirection,initialdirection,default,default
2005002229442,2,Front,Back,default,default,default,default,initialdirection,initialdirection,default,default
2005002229462,2,Front,Front,default,default,default,default,west,east,default,default
2005002229482,2,Front,Back,default,default,default,default,initialdirection,initialdirection,default,default
2005002229483,2,Front,Front,default,default,default,default,west,initialdirection,default,default
2005002229503,2,Front,Back,default,default,default,default,westerly,initialdirection,default,default
2005002229523,1,Undercarriage,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2005002229542,2,Front,Left Side,default,default,default,default,initialdirection,initialdirection,default,default
2005002229562,1,Front,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2005002229563,2,Left Side,Front,default,default,default,default,initialdirection,initialdirection,default,default
2005002229582,1,Front,Not a motor vehicle,clockwise,default,default,default,westerly,initialdirection,default,default
2005002229602,2,Front,Left Side,default,default,default,default,initialdirection,initialdirection,default,default
2005002229623,1,Front,Not a motor vehicle,default,default,default,default,northwest,initialdirection,default,default
2005002229663,1,Front,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2005002229703,1,Noncollision,Noncollision,default,default,default,default,initialdirection,initialdirection,default,default
2005002229723,2,Front,Front,default,default,default,default,initialdirection,initialdirection,default,default
2005002585041,1,Left Side,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2005002585063,1,Left Side,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2005002585103,1,Front,Not a motor vehicle,clockwise,default,default,default,easterly,initialdirection,default,default
2005002585142,2,Back,Front,default,default,default,default,south,south,default,default
2005002585183,2,Back,Front,default,default,default,default,north,north,default,default
2005002585184,1,Front,Not a motor vehicle,clockwise,default,default,default,west,initialdirection,default,default
2005002585224,2,Left Side,Front,clockwise,default,default,default,northerly,northwesterly,default,default
2005002585263,2,Front,Front,clockwise,default,default,default,east,northerly,default,default
2005002585302,1,Front,Not a motor vehicle,clockwise,default,default,default,northerly,initialdirection,default,default
2005002585382,2,Front,Back,default,default,default,default,north,north,default,default
2005002585402,1,Front,Not a motor vehicle,clockwise,default,default,default,east,initialdirection,default,default
2005002585502,2,Front,Front,default,default,default,default,southeasterly,initialdirection,default,default
2005002585522,1,Front,Not a motor vehicle,default,default,default,default,westerly,initialdirection,default,default
2005002585564,2,Front,Left Side,default,default,default,default,east,initialdirection,default,default
2005002585603,1,Front,Not a motor vehicle,clockwise,default,default,default,west,initialdirection,default,default
2005002585643,2,Left Side,Front,clockwise,default,default,default,southeasterly,initialdirection,default,default
2005002585683,2,Front,Front,default,default,default,default,initialdirection,southerly,default,default
